"","GEOID","NAME","Percent Total population 65 years and over_E","Percent Total population 65 years and over_M","Percent below poverty level_E","Percent below poverty level_M","Median household Income in dollars_E","Median household Income in dollars_M"
"1","01001","Autauga County, Alabama",16,0.2,10.7,1.8,69841,5512
"2","01003","Baldwin County, Alabama",21.4,0.1,10.5,1,75019,2751
"3","01005","Barbour County, Alabama",19.7,0.1,21.9,2.8,44290,2762
"4","01007","Bibb County, Alabama",17,0.5,20.5,3,51215,6678
"5","01009","Blount County, Alabama",18.6,0.3,14.1,1.6,61096,3328
"6","01011","Bullock County, Alabama",17.9,0.4,25.7,6.1,36723,6836
"7","01013","Butler County, Alabama",21.4,0.3,21,3.5,44881,4130
"8","01015","Calhoun County, Alabama",18,0.1,17.5,1.6,55826,2168
"9","01017","Chambers County, Alabama",20,0.2,15.5,2.1,49295,5005
"10","01019","Cherokee County, Alabama",23.8,0.3,14.5,2.3,50769,4891
"11","01021","Chilton County, Alabama",16.9,0.4,13.6,2.2,61873,2954
"12","01023","Choctaw County, Alabama",23.8,0.2,19.5,3,44483,4856
"13","01025","Clarke County, Alabama",20.6,0.2,20.5,3.3,49167,4873
"14","01027","Clay County, Alabama",20.5,0.4,16.5,3.8,51852,3549
"15","01029","Cleburne County, Alabama",20.4,1.1,13.2,3.5,53319,4481
"16","01031","Coffee County, Alabama",17.1,0.1,17.6,1.4,64672,3538
"17","01033","Colbert County, Alabama",20.1,0.1,16.9,1.9,56736,4001
"18","01035","Conecuh County, Alabama",24.3,0.3,27.6,3.3,42266,4545
"19","01037","Coosa County, Alabama",24.8,0.2,11.6,3.3,57063,5500
"20","01039","Covington County, Alabama",21.9,0.1,18,2.4,50886,4230
"21","01041","Crenshaw County, Alabama",19.9,0.4,16.2,2.6,49040,4592
"22","01043","Cullman County, Alabama",18.9,0.1,13.9,1.6,60916,2736
"23","01045","Dale County, Alabama",18,0.2,18.7,2.1,53955,2136
"24","01047","Dallas County, Alabama",19.8,0.2,29,3.1,36810,3543
"25","01049","DeKalb County, Alabama",17.4,0.2,20.4,2,51149,2343
"26","01051","Elmore County, Alabama",16.1,0.1,10.3,1.3,75553,3115
"27","01053","Escambia County, Alabama",18.8,0.3,21.2,2.8,44447,3904
"28","01055","Etowah County, Alabama",19.5,0.1,17.1,1.3,53070,1864
"29","01057","Fayette County, Alabama",21.6,0.2,18.7,4.8,50733,5743
"30","01059","Franklin County, Alabama",17.2,0.6,17.4,3.3,51493,5249
"31","01061","Geneva County, Alabama",20.4,0.3,19.1,3.1,50951,4889
"32","01063","Greene County, Alabama",24,0.7,35.9,6.5,31495,4589
"33","01065","Hale County, Alabama",19.9,NA,23.9,4.8,41325,5403
"34","01067","Henry County, Alabama",23.3,0.2,15.8,2.4,60135,6853
"35","01069","Houston County, Alabama",18.4,NA,18,1,57531,1310
"36","01071","Jackson County, Alabama",20.8,0.1,16.8,1.8,49454,2597
"37","01073","Jefferson County, Alabama",16.5,0.1,16.3,0.6,64589,1226
"38","01075","Lamar County, Alabama",22.2,0.6,15.1,3.4,47447,5429
"39","01077","Lauderdale County, Alabama",20.2,0.1,13.6,1.3,59082,3460
