"","GEOID","NAME","variable","estimate","moe","label","concept"
"1","01001","Autauga County, Alabama","S2701_C03_001",92.6,1.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"2","01003","Baldwin County, Alabama","S2701_C03_001",91.8,0.8,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"3","01005","Barbour County, Alabama","S2701_C03_001",89.2,2.3,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"4","01007","Bibb County, Alabama","S2701_C03_001",91.7,2.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"5","01009","Blount County, Alabama","S2701_C03_001",89.8,1.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"6","01011","Bullock County, Alabama","S2701_C03_001",87.1,3.4,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"7","01013","Butler County, Alabama","S2701_C03_001",87.7,2.3,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"8","01015","Calhoun County, Alabama","S2701_C03_001",88.9,0.9,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"9","01017","Chambers County, Alabama","S2701_C03_001",87.8,1.9,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"10","01019","Cherokee County, Alabama","S2701_C03_001",91,1.7,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"11","01021","Chilton County, Alabama","S2701_C03_001",89.9,1.4,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"12","01023","Choctaw County, Alabama","S2701_C03_001",91.8,2.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"13","01025","Clarke County, Alabama","S2701_C03_001",91.8,1.3,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"14","01027","Clay County, Alabama","S2701_C03_001",91.6,1.9,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"15","01029","Cleburne County, Alabama","S2701_C03_001",90.7,1.9,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"16","01031","Coffee County, Alabama","S2701_C03_001",89.5,1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"17","01033","Colbert County, Alabama","S2701_C03_001",92.6,1.1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"18","01035","Conecuh County, Alabama","S2701_C03_001",91.8,2.1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"19","01037","Coosa County, Alabama","S2701_C03_001",92.6,1.9,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"20","01039","Covington County, Alabama","S2701_C03_001",89.7,1.5,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"21","01041","Crenshaw County, Alabama","S2701_C03_001",90.8,1.9,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"22","01043","Cullman County, Alabama","S2701_C03_001",89.3,1.1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"23","01045","Dale County, Alabama","S2701_C03_001",89.1,1.1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"24","01047","Dallas County, Alabama","S2701_C03_001",90.7,1.4,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"25","01049","DeKalb County, Alabama","S2701_C03_001",85,1.3,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"26","01051","Elmore County, Alabama","S2701_C03_001",92.3,0.9,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"27","01053","Escambia County, Alabama","S2701_C03_001",88.7,1.9,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"28","01055","Etowah County, Alabama","S2701_C03_001",87.8,1.1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"29","01057","Fayette County, Alabama","S2701_C03_001",92.1,2.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"30","01059","Franklin County, Alabama","S2701_C03_001",88.2,1.6,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"31","01061","Geneva County, Alabama","S2701_C03_001",87.2,1.7,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"32","01063","Greene County, Alabama","S2701_C03_001",86.2,5.7,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"33","01065","Hale County, Alabama","S2701_C03_001",93.7,2.3,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"34","01067","Henry County, Alabama","S2701_C03_001",92,2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"35","01069","Houston County, Alabama","S2701_C03_001",88.3,0.6,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"36","01071","Jackson County, Alabama","S2701_C03_001",89.5,1.3,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"37","01073","Jefferson County, Alabama","S2701_C03_001",90.8,0.4,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"38","01075","Lamar County, Alabama","S2701_C03_001",91,2.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"39","01077","Lauderdale County, Alabama","S2701_C03_001",90.2,1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"40","01079","Lawrence County, Alabama","S2701_C03_001",90.8,1.3,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"41","01081","Lee County, Alabama","S2701_C03_001",91.3,1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"42","01083","Limestone County, Alabama","S2701_C03_001",91.9,1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"43","01085","Lowndes County, Alabama","S2701_C03_001",91.5,2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"44","01087","Macon County, Alabama","S2701_C03_001",90.9,1.8,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"45","01089","Madison County, Alabama","S2701_C03_001",92.3,0.5,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"46","01091","Marengo County, Alabama","S2701_C03_001",91.4,2.5,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"47","01093","Marion County, Alabama","S2701_C03_001",89.8,1.7,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"48","01095","Marshall County, Alabama","S2701_C03_001",88.5,0.9,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"49","01097","Mobile County, Alabama","S2701_C03_001",89.1,0.5,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"50","01099","Monroe County, Alabama","S2701_C03_001",88.8,2.6,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"51","01101","Montgomery County, Alabama","S2701_C03_001",89.4,0.8,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"52","01103","Morgan County, Alabama","S2701_C03_001",88.8,0.8,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"53","01105","Perry County, Alabama","S2701_C03_001",92.5,2.9,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"54","01107","Pickens County, Alabama","S2701_C03_001",91.1,1.7,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"55","01109","Pike County, Alabama","S2701_C03_001",91.8,1.4,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"56","01111","Randolph County, Alabama","S2701_C03_001",91,1.7,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"57","01113","Russell County, Alabama","S2701_C03_001",88.5,1.6,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"58","01115","St. Clair County, Alabama","S2701_C03_001",92.7,1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"59","01117","Shelby County, Alabama","S2701_C03_001",93.3,0.6,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"60","01119","Sumter County, Alabama","S2701_C03_001",90.8,2.1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
