"","GEOID","NAME","variable","estimate","moe","label","concept"
"1","01","Alabama","S0101_C02_022",22.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"2","02","Alaska","S0101_C02_022",24.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"3","04","Arizona","S0101_C02_022",21.9,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"4","05","Arkansas","S0101_C02_022",23.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"5","06","California","S0101_C02_022",22.2,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"6","08","Colorado","S0101_C02_022",21.4,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"7","09","Connecticut","S0101_C02_022",20.4,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"8","10","Delaware","S0101_C02_022",20.9,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"9","11","District of Columbia","S0101_C02_022",18.7,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"10","12","Florida","S0101_C02_022",19.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"11","13","Georgia","S0101_C02_022",23.5,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"12","15","Hawaii","S0101_C02_022",20.9,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"13","16","Idaho","S0101_C02_022",24.5,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"14","17","Illinois","S0101_C02_022",22.1,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"15","18","Indiana","S0101_C02_022",23.4,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"16","19","Iowa","S0101_C02_022",23,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"17","20","Kansas","S0101_C02_022",24,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"18","21","Kentucky","S0101_C02_022",22.7,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"19","22","Louisiana","S0101_C02_022",23.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"20","23","Maine","S0101_C02_022",18.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"21","24","Maryland","S0101_C02_022",22.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"22","25","Massachusetts","S0101_C02_022",19.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"23","26","Michigan","S0101_C02_022",21.4,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"24","27","Minnesota","S0101_C02_022",23.1,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"25","28","Mississippi","S0101_C02_022",23.5,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"26","29","Missouri","S0101_C02_022",22.5,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"27","30","Montana","S0101_C02_022",21.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"28","31","Nebraska","S0101_C02_022",24.7,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"29","32","Nevada","S0101_C02_022",22.1,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"30","33","New Hampshire","S0101_C02_022",18.5,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"31","34","New Jersey","S0101_C02_022",21.9,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"32","35","New Mexico","S0101_C02_022",22.1,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"33","36","New York","S0101_C02_022",20.7,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"34","37","North Carolina","S0101_C02_022",21.9,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"35","38","North Dakota","S0101_C02_022",23.7,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"36","39","Ohio","S0101_C02_022",22.2,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"37","40","Oklahoma","S0101_C02_022",24.1,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"38","41","Oregon","S0101_C02_022",20.2,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"39","42","Pennsylvania","S0101_C02_022",20.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"40","44","Rhode Island","S0101_C02_022",19,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"41","45","South Carolina","S0101_C02_022",21.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"42","46","South Dakota","S0101_C02_022",24.4,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"43","47","Tennessee","S0101_C02_022",22.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"44","48","Texas","S0101_C02_022",25.2,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"45","49","Utah","S0101_C02_022",28.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"46","50","Vermont","S0101_C02_022",18.2,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"47","51","Virginia","S0101_C02_022",21.9,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"48","53","Washington","S0101_C02_022",21.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"49","54","West Virginia","S0101_C02_022",20.1,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"50","55","Wisconsin","S0101_C02_022",21.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"51","56","Wyoming","S0101_C02_022",22.8,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
"52","72","Puerto Rico","S0101_C02_022",16.7,NA,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Age and Sex"
